model,params,fold,mse,rmse,mae
Content KNN,k=15,4,0.004288650461716863,0.06548778864579917,0.05105814528435816
Content KNN,k=20,4,0.0042319402981589255,0.06505336500258019,0.05134240598210202
Content KNN,k=30,4,0.004293254153404474,0.06552292845565187,0.0511060786311289
Graph-augmented MLP,hidden_dim=16;lr=0.01;epochs=300,4,0.04178742100666832,0.2044197177541059,0.15236195507904976
Graph-augmented MLP,hidden_dim=32;lr=0.01;epochs=300,4,0.06058592989200482,0.24614209288946257,0.18561115721061522
Graph-augmented MLP,hidden_dim=64;lr=0.03;epochs=800,4,0.013600851365446488,0.11662268803901961,0.08572219477565171
Train Mean,,5,0.014870662854879828,0.12194532731876129,0.09351290215588724
Ridge Regression,alpha=0.0,5,0.0037434979093900677,0.06118413118930486,0.04275991032178007
Ridge Regression,alpha=0.001,5,0.003779833831833094,0.06148035321818747,0.0429451442274623
Ridge Regression,alpha=0.01,5,0.00377981687267252,0.0614802152946175,0.04294502181020615
Ridge Regression,alpha=0.1,5,0.0037796516130361073,0.06147887127327654,0.04294379010724347
Ridge Regression,alpha=1.0,5,0.0037784777739638745,0.06146932384501943,0.04293095731872798
Ridge Regression,alpha=10.0,5,0.00378925324675541,0.06155691063361944,0.04302222373798375
Ridge Regression,alpha=100.0,5,0.004024145076449906,0.06343614960296617,0.04399035586301181
Content KNN,k=1,5,0.009068533333333335,0.09522884717003212,0.07271999999999999
Content KNN,k=3,5,0.006725633927076724,0.08200996236480496,0.05972414094347359
Content KNN,k=5,5,0.0055518126716575045,0.07451048699114443,0.05332498673042571
Content KNN,k=7,5,0.0049337495576248615,0.07024065459279875,0.049248301618736876
Content KNN,k=10,5,0.004937484544377886,0.07026723663541841,0.05004227187506757
Content KNN,k=15,5,0.004984319421788381,0.07059971261831298,0.05046552691578471
Content KNN,k=20,5,0.004877885646623028,0.06984186170645101,0.049498985441332646
Content KNN,k=30,5,0.004954033861598076,0.07038489796538797,0.050182784534084604
